,Institute ID,Name,City,State,Score,Rank
0,IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.42,1
1,IR-O-U-0220,"Indian Institute of Science, Bengaluru",Bengaluru,Karnataka,83.28,2
2,IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,81.37,3
3,IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,80.31,4
4,IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.56,5
5,IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,74.77,6
6,IR-O-N-15,All India Institute of Medical Sciences Delhi,New Delhi,Delhi,74.27,7
7,IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.52,8
8,IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.04,9
9,IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,68.53,10
10,IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,67.56,11
11,IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,66.69,12
12,IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,66.00,13
13,IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,64.94,14
14,IR-O-U-0120,University of Delhi,Delhi,Delhi,64.81,15
15,IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,64.17,16
16,IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,63.84,17
17,IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,63.81,18
18,IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,62.97,19
19,IR-O-U-0439,Anna University,Chennai,Tamil Nadu,62.77,20
20,IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,62.07,21
21,IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,61.79,22
22,IR-O-U-0391,"Birla Institute of Technology and Science, Pilani",Pilani,Rajasthan,60.87,23
23,IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,60.73,24
24,IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,60.55,25
25,IR-O-U-0570,Calcutta University,Kolkata,West Bengal,60.25,26
